    time    temp    dens
   1.97915851819096E-03   3.75740593754058E-01   3.13163223690108E+10
     nin     zin       y       x
  1    0     8.77935900001894E-01   8.77935900001894E-01
  0    1     1.16569593075089E-18   1.16569593075089E-18
  1    1     7.58309489903254E-17   1.51661897980651E-16
  2    1     7.65232525346537E-11   2.29569757603961E-10
  1    2     1.00000000000000E-99   1.00000000000000E-99
  2    2     2.77574064758540E-10   1.11029625903416E-09
  4    2     2.70348161595162E-07   1.62208896957097E-06
  3    3     1.00000000000000E-99   1.00000000000000E-99
  4    3     1.99122591882284E-22   1.39385814317599E-21
  5    3     3.86211654806198E-22   3.08969323844958E-21
  6    3     6.40480482686386E-11   5.76432434417748E-10
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     5.62063728262561E-18   5.05857355436305E-17
  6    4     2.11581340333210E-17   2.11581340333210E-16
  7    4     2.54407938230484E-17   2.79848732053532E-16
  8    4     2.30830717314157E-07   2.76996860776989E-06
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     4.61629135248984E-22   5.07792048773882E-21
  7    5     1.15945819488204E-19   1.39134983385844E-18
  8    5     1.40435427857435E-17   1.82566056214666E-16
  9    5     3.49591732332984E-09   4.89428425266177E-08
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     1.00000000000000E-99   1.00000000000000E-99
  7    6     1.00000000000000E-99   1.00000000000000E-99
  8    6     5.13714169511975E-21   7.19199837316765E-20
  9    6     3.55903660266792E-20   5.33855490400188E-19
 10    6     5.15949043544827E-20   8.25518469671724E-19
 11    6     6.25527153345303E-11   1.06339616068701E-09
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     1.00000000000000E-99   1.00000000000000E-99
