    time    temp    dens
   1.27104968404915E+00   5.12622167264242E-01   1.92409878569331E+02
     nin     zin       y       x
  1    0     8.57816065902383E-08   8.57816065902383E-08
  0    1     3.39674551666405E-13   3.39674551666405E-13
  1    1     1.73524210197875E-13   3.47048420395751E-13
  2    1     4.27335180795535E-09   1.28200554238660E-08
  1    2     2.09063471997790E-19   6.27190415993370E-19
  2    2     2.69163572942368E-04   1.07665429176947E-03
  4    2     8.87260248412879E-08   5.32356149047728E-07
  3    3     1.97165482059513E-11   1.18299289235708E-10
  4    3     1.31414677291822E-09   9.19902741042757E-09
  5    3     3.10093877414760E-13   2.48075101931808E-12
  6    3     1.19500766389460E-06   1.07550689750514E-05
  3    4     1.26100315800227E-19   8.82702210601590E-19
  5    4     2.41824458755083E-07   2.17642012879575E-06
  6    4     7.61117735151954E-07   7.61117735151954E-06
  7    4     3.63994550950544E-16   4.00394006045599E-15
  8    4     2.03536651994236E-11   2.44243982393083E-10
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     6.93989493692123E-16   6.93989493692123E-15
  6    5     5.78662380536393E-09   6.36528618590032E-08
  7    5     2.74487478506207E-10   3.29384974207448E-09
  8    5     3.38042426714938E-11   4.39455154729420E-10
  9    5     2.50937537897771E-16   3.51312553056880E-15
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.30752309570477E-25   1.43827540527524E-24
  6    6     2.07222441206248E-07   2.48666929447498E-06
  7    6     1.48475628200960E-08   1.93018316661248E-07
  8    6     9.40660914788854E-09   1.31692528070439E-07
  9    6     4.36408354970797E-11   6.54612532456195E-10
 10    6     6.34060673300267E-06   1.01449707728043E-04
 11    6     1.07486858693382E-12   1.82727659778749E-11
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.65666585650019E-19   2.15366561345025E-18
  7    7     7.09262304587432E-12   9.92967226422404E-11
  8    7     1.06749355819087E-06   1.60124033728631E-05
  9    7     5.90590421329927E-08   9.44944674127883E-07
 10    7     3.57323114394403E-08   6.07449294470484E-07
 11    7     1.70045799616969E-08   3.06082439310544E-07
 12    7     2.78791415668091E-09   5.29703689769372E-08
 13    7     6.76498312941595E-07   1.35299662588319E-05
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
