    time    temp    dens
   1.22954587322628E+00   5.28517533115544E-01   2.12559606320237E+02
     nin     zin       y       x
  1    0     1.66665396407436E-07   1.66665396407436E-07
  0    1     4.97703520167029E-13   4.97703520167029E-13
  1    1     2.51332927789532E-13   5.02665855579064E-13
  2    1     4.07087754073660E-09   1.22126326222098E-08
  1    2     8.29040733788124E-20   2.48712220136437E-19
  2    2     2.69215150830821E-04   1.07686060332329E-03
  4    2     9.19690804762078E-08   5.51814482857247E-07
  3    3     9.28362933506955E-12   5.57017760104173E-11
  4    3     1.11148687422819E-09   7.78040811959735E-09
  5    3     3.85416821265861E-13   3.08333457012689E-12
  6    3     1.29406573303532E-06   1.16465915973179E-05
  3    4     4.98111401823779E-20   3.48677981276645E-19
  5    4     1.99587729896814E-07   1.79628956907132E-06
  6    4     7.60985628162128E-07   7.60985628162128E-06
  7    4     5.29287475436866E-16   5.82216222980552E-15
  8    4     7.58910270623208E-11   9.10692324747850E-10
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.97977804852428E-16   1.97977804852428E-15
  6    5     4.05806591572362E-09   4.46387250729598E-08
  7    5     5.25816593163120E-10   6.30979911795744E-09
  8    5     9.69805899078673E-11   1.26074766880227E-09
  9    5     9.78535621764208E-16   1.36994987046989E-14
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     1.52728115838046E-07   1.83273739005655E-06
  7    6     1.39963879035427E-08   1.81953042746055E-07
  8    6     9.16200414015094E-09   1.28268057962113E-07
  9    6     4.54997851181547E-11   6.82496776772320E-10
 10    6     6.58943436041969E-06   1.05430949766715E-04
 11    6     1.38833996464053E-12   2.36017793988890E-11
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.13301373449712E-19   1.47291785484626E-18
  7    7     4.27424699893678E-12   5.98394579851149E-11
  8    7     8.22333712071640E-07   1.23350056810746E-05
  9    7     5.56541026147812E-08   8.90465641836499E-07
 10    7     3.59530662622807E-08   6.11202126458772E-07
 11    7     1.78091500156705E-08   3.20564700282068E-07
 12    7     3.03613103522657E-09   5.76864896693048E-08
 13    7     8.35388859061222E-07   1.67077771812244E-05
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.47142966097672E-24   2.20714449146508E-23
  8    8     1.17264444679176E-09   1.87623111486682E-08
  9    8     3.71698109608548E-11   6.31886786334532E-10
 10    8     2.50689493160524E-09   4.51241087688943E-08
 11    8     2.33768885390568E-07   4.44160882242079E-06
 12    8     5.63066520119643E-07   1.12613304023929E-05
 13    8     2.27064791031889E-07   4.76836061166968E-06
 14    8     8.25891500323315E-06   1.81696130071129E-04
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.26270797700564E-24   2.14660356090959E-23
  9    9     2.45500893221835E-21   4.41901607799304E-20
 10    9     1.73332574364381E-10   3.29331891292323E-09
 11    9     1.11686287654055E-09   2.23372575308109E-08
 12    9     7.67244773446193E-09   1.61121402423700E-07
 13    9     3.58282327334772E-07   7.88221120136499E-06
 14    9     2.05539729803318E-09   4.72741378547631E-08
 15    9     2.46051611789828E-09   5.90523868295586E-08
 16    9     2.76550965897272E-08   6.91377414743179E-07
 17    9     6.29486045337569E-13   1.63666371787768E-11
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     2.46615803543203E-12   4.93231607086406E-11
 11   10     4.67161853589871E-11   9.81039892538729E-10
 12   10     3.84544558473143E-09   8.45998028640914E-08
 13   10     4.44553926926319E-10   1.02247403193053E-08
 14   10     1.28776421546475E-08   3.09063411711540E-07
 15   10     4.37147733336915E-08   1.09286933334229E-06
 16   10     2.85533445757695E-09   7.42386958970008E-08
 17   10     3.03884313427901E-11   8.20487646255332E-10
 18   10     1.78433400696131E-11   4.99613521949167E-10
 19   10     3.33416546753230E-13   9.66907985584367E-12
 20   10     7.48122988237214E-15   2.24436896471164E-13
 21   10     2.38145406381570E-18   7.38250759782866E-17
 22   10     4.55719874517606E-20   1.45830359845634E-18
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     1.00000000000000E-99   1.00000000000000E-99
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     5.59148599350635E-23   1.23012691857140E-21
 12   11     2.80133329530813E-13   6.44306657920870E-12
 13   11     1.65622414401421E-12   3.97493794563410E-11
 14   11     2.69013477450561E-09   6.72533693626403E-08
 15   11     1.35121373123594E-09   3.51315570121344E-08
 16   11     1.60807467588526E-09   4.34180162489021E-08
 17   11     1.41660718571362E-10   3.96650011999812E-09
 18   11     2.61686252123712E-10   7.58890131158766E-09
 19   11     4.03641507450389E-11   1.21092452235117E-09
 20   11     1.68681473149232E-11   5.22912566762619E-10
 21   11     2.35448414032989E-11   7.53434924905566E-10
 22   11     7.48502454700154E-17   2.47005810051051E-15
 23   11     6.59239558336384E-21   2.24141449834370E-19
 24   11     2.40383122500370E-24   8.41340928751295E-23
 25   11     1.00000000000000E-99   1.00000000000000E-99
 26   11     1.00000000000000E-99   1.00000000000000E-99
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
