    time    temp    dens
   7.92287351539961E-01   6.48086586291916E-01   7.94450382518056E+02
     nin     zin       y       x
  1    0     3.22820160197334E-01   3.22820160197334E-01
  0    1     5.10916193890343E-11   5.10916193890343E-11
  1    1     1.48165129317595E-09   2.96330258635190E-09
  2    1     1.80457166730153E-07   5.41371500190460E-07
  1    2     5.26644653850643E-20   1.57993396155193E-19
  2    2     2.42866336764560E-04   9.71465347058239E-04
  4    2     1.34238396852201E-07   8.05430381113203E-07
  3    3     1.55045568072079E-18   9.30273408432476E-18
  4    3     1.44674400344445E-12   1.01272080241112E-11
  5    3     2.16380334641335E-12   1.73104267713068E-11
  6    3     2.60516796169313E-06   2.34465116552382E-05
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     9.53632811503612E-12   8.58269530353251E-11
  6    4     9.53904516451734E-08   9.53904516451734E-07
  7    4     4.58283686932033E-11   5.04112055625237E-10
  8    4     1.38775604421591E-07   1.66530725305909E-06
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     7.28848594540971E-14   8.01733453995068E-13
  7    5     6.22961822071558E-12   7.47554186485870E-11
  8    5     4.58585644008899E-08   5.96161337211569E-07
  9    5     5.49449275382817E-08   7.69228985535943E-07
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     9.16145506916042E-16   1.09937460829925E-14
  7    6     9.16549628449947E-13   1.19151451698493E-11
  8    6     8.87819398576654E-12   1.24294715800732E-10
  9    6     5.62242674960530E-11   8.43364012440795E-10
 10    6     8.68958906586905E-06   1.39033425053905E-04
 11    6     4.96204056119933E-07   8.43546895403887E-06
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     1.39499123723380E-21   1.95298773212732E-20
  8    7     1.99041844954881E-11   2.98562767432322E-10
  9    7     4.91106427365197E-11   7.85770283784316E-10
 10    7     2.03514985093217E-10   3.45975474658468E-09
 11    7     1.83326232834154E-10   3.29987219101477E-09
 12    7     3.85948838918025E-11   7.33302793944247E-10
