    time    temp    dens
   1.08755074073813E+04   1.00000000000000E-02   3.07161203800989E-10
     nin     zin       y       x
  1    0     9.21784623631237E-13   9.21784623631237E-13
  0    1     1.88074712183262E-09   1.88074712183262E-09
  1    1     3.88487561781325E-16   7.76975123562650E-16
  2    1     2.58374077918502E-08   7.75122233755507E-08
  1    2     5.00647149716585E-13   1.50194144914976E-12
  2    2     2.97294076476261E-04   1.18917630590504E-03
  4    2     1.00000000000000E-99   1.00000000000000E-99
  3    3     1.64077753150978E-08   9.84466518905869E-08
  4    3     2.74852568474912E-09   1.92396797932439E-08
  5    3     1.00000000000000E-99   1.00000000000000E-99
  6    3     1.00000000000000E-99   1.00000000000000E-99
  3    4     6.22803125589646E-21   4.35962187912752E-20
  5    4     1.14965352377905E-06   1.03468817140115E-05
  6    4     7.61595810889427E-07   7.61595810889427E-06
  7    4     1.85564514821658E-24   2.04120966303824E-23
  8    4     1.00000000000000E-99   1.00000000000000E-99
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     7.70848548008087E-15   7.70848548008087E-14
  6    5     2.30430236903050E-08   2.53473260593355E-07
  7    5     1.00000000000000E-99   1.00000000000000E-99
  8    5     1.00000000000000E-99   1.00000000000000E-99
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     4.77250286762327E-07   5.72700344114793E-06
  7    6     1.65673900013602E-08   2.15376070017683E-07
  8    6     1.17670886884620E-08   1.64739241638469E-07
  9    6     1.00000000000000E-99   1.00000000000000E-99
 10    6     1.00000000000000E-99   1.00000000000000E-99
 11    6     1.00000000000000E-99   1.00000000000000E-99
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     2.26813601392506E-25   2.94857681810258E-24
  7    7     1.86982346479163E-11   2.61775285070828E-10
  8    7     7.34194843659077E-06   1.10129226548862E-04
  9    7     6.19696335203175E-25   9.91514136325080E-24
 10    7     1.00000000000000E-99   1.00000000000000E-99
