    time    temp    dens
   8.15392216849761E-01   6.43074509745289E-01   7.28811575094021E+02
     nin     zin       y       x
  1    0     2.98083680963131E-01   2.98083680963131E-01
  0    1     5.56144826910575E-11   5.56144826910575E-11
  1    1     1.59532416408413E-09   3.19064832816826E-09
  2    1     1.76362720335987E-07   5.29088161007962E-07
  1    2     6.54220230878038E-20   1.96266069263411E-19
  2    2     2.46833084515075E-04   9.87332338060299E-04
  4    2     1.31583729141194E-07   7.89502374847166E-07
  3    3     1.80705673277615E-18   1.08423403966569E-17
  4    3     1.53203696220798E-12   1.07242587354559E-11
  5    3     2.30244993469557E-12   1.84195994775646E-11
  6    3     2.54430909616090E-06   2.28987818654481E-05
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     1.10323600370565E-11   9.92912403335081E-11
  6    4     1.14834720125023E-07   1.14834720125023E-06
  7    4     5.07304385745529E-11   5.58034824320082E-10
  8    4     1.31678210827850E-07   1.58013852993420E-06
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     8.08037117270886E-14   8.88840828997974E-13
  7    5     6.97970348074145E-12   8.37564417688974E-11
  8    5     4.41675832821543E-08   5.74178582668006E-07
  9    5     5.18947189118008E-08   7.26526064765212E-07
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     1.15083196678782E-15   1.38099836014538E-14
  7    6     1.05331994752992E-12   1.36931593178890E-11
  8    6     1.00420287472210E-11   1.40588402461095E-10
  9    6     6.36866955718926E-11   9.55300433578389E-10
 10    6     8.60485563021724E-06   1.37677690083476E-04
 11    6     4.66613053521398E-07   7.93242190986376E-06
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     1.65546481346202E-21   2.31765073884683E-20
  8    7     2.34466997821714E-11   3.51700496732570E-10
  9    7     5.76570498700543E-11   9.22512797920869E-10
 10    7     2.37568790246390E-10   4.03866943418863E-09
 11    7     2.13995076289615E-10   3.85191137321306E-09
 12    7     4.50109233466501E-11   8.55207543586351E-10
