    time    temp    dens
   7.24815670674478E-02   7.92531588021514E-01   1.03760540083675E+06
     nin     zin       y       x
  1    0     8.33750444140973E-01   8.33750444140973E-01
  0    1     4.04815492843139E-14   4.04815492843139E-14
  1    1     1.35822659494172E-12   2.71645318988345E-12
  2    1     1.09210974440455E-08   3.27632923321364E-08
  1    2     1.00000000000000E-99   1.00000000000000E-99
  2    2     1.18057716545207E-05   4.72230866180827E-05
  4    2     2.54348557333654E-07   1.52609134400192E-06
  3    3     7.32553696228369E-22   4.39532217737021E-21
  4    3     2.46824954454039E-15   1.72777468117828E-14
  5    3     3.26097923299083E-15   2.60878338639266E-14
  6    3     2.39697058621091E-07   2.15727352758981E-06
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     2.91105516563689E-14   2.61994964907321E-13
  6    4     9.42308369971878E-13   9.42308369971878E-12
  7    4     1.84073345931897E-13   2.02480680525086E-12
  8    4     3.47410943880328E-06   4.16893132656394E-05
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     3.70401359681200E-16   4.07441495649320E-15
  7    5     4.20000347607538E-14   5.04000417129046E-13
  8    5     1.74471684964524E-08   2.26813190453881E-07
  9    5     2.20976886555828E-06   3.09367641178159E-05
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     8.55895564750614E-20   1.02707467770074E-18
  7    6     8.12100609689102E-17   1.05573079259583E-15
  8    6     5.31653627695710E-14   7.44315078773994E-13
  9    6     3.41299121796527E-13   5.11948682694790E-12
 10    6     3.72152545053960E-07   5.95444072086336E-06
 11    6     4.80817913956459E-06   8.17390453725980E-05
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     6.37265667919677E-25   8.92171935087548E-24
  8    7     2.07246966977664E-16   3.10870450466496E-15
  9    7     8.12154867950938E-15   1.29944778872150E-13
 10    7     8.82938604153967E-14   1.50099562706174E-12
 11    7     7.95463923910902E-14   1.43183506303962E-12
 12    7     2.14890523665383E-14   4.08291994964227E-13
 13    7     4.31196084864814E-07   8.62392169729629E-06
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     3.71193817806370E-24   5.93910108490192E-23
  9    8     1.00000000000000E-99   1.00000000000000E-99
 10    8     1.67811213013396E-20   3.02060183424112E-19
 11    8     5.50516147872130E-17   1.04598068095705E-15
 12    8     2.62737504328287E-15   5.25475008656575E-14
 13    8     1.84217999515911E-13   3.86857798983414E-12
 14    8     4.01152619821741E-08   8.82535763607831E-07
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     1.00000000000000E-99   1.00000000000000E-99
 10    9     4.84696474346722E-25   9.20923301258771E-24
 11    9     6.00010771789413E-25   1.20002154357883E-23
 12    9     1.77301176201501E-21   3.72332470023153E-20
 13    9     9.27229875415577E-17   2.03990572591427E-15
 14    9     5.16294321956591E-18   1.18747694050016E-16
 15    9     1.51446404943774E-17   3.63471371865057E-16
 16    9     5.72430741629502E-13   1.43107685407375E-11
 17    9     9.23058120560308E-11   2.39995111345680E-09
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     1.00000000000000E-99   1.00000000000000E-99
 11   10     1.00000000000000E-99   1.00000000000000E-99
 12   10     1.00000000000000E-99   1.00000000000000E-99
 13   10     2.49307592086508E-24   5.73407461798968E-23
 14   10     3.99393736370854E-22   9.58544967290049E-21
 15   10     8.75406322840266E-17   2.18851580710067E-15
 16   10     1.32414736368477E-16   3.44278314558041E-15
 17   10     2.45681327750688E-17   6.63339584926858E-16
 18   10     1.56970450428209E-16   4.39517261198986E-15
 19   10     1.10363800956516E-17   3.20055022773896E-16
 20   10     7.56580874173654E-17   2.26974262252096E-15
 21   10     3.20974931155377E-17   9.95022286581670E-16
 22   10     1.24525584423710E-10   3.98481870155873E-09
 23   10     6.79447666436013E-24   2.24217729923884E-22
 24   10     1.13195033044098E-19   3.84863112349932E-18
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     1.00000000000000E-99   1.00000000000000E-99
 12   11     1.00000000000000E-99   1.00000000000000E-99
 13   11     1.00000000000000E-99   1.00000000000000E-99
 14   11     1.00000000000000E-99   1.00000000000000E-99
 15   11     1.00000000000000E-99   1.00000000000000E-99
 16   11     2.96836890814993E-25   8.01459605200481E-24
 17   11     2.45804505054470E-24   6.88252614152517E-23
 18   11     6.67512546739351E-21   1.93578638554412E-19
 19   11     2.65106923414016E-20   7.95320770242047E-19
 20   11     9.66755833353138E-18   2.99694308339473E-16
 21   11     9.16392249571239E-17   2.93245519862796E-15
 22   11     2.35008820952437E-16   7.75529109143041E-15
 23   11     8.96827119598338E-18   3.04921220663435E-16
 24   11     3.57079740411108E-11   1.24977909143888E-09
 25   11     3.24113700968710E-22   1.16680932348735E-20
 26   11     5.36690573753173E-20   1.98575512288674E-18
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     1.00000000000000E-99   1.00000000000000E-99
  9   12     1.00000000000000E-99   1.00000000000000E-99
 10   12     1.00000000000000E-99   1.00000000000000E-99
 11   12     1.00000000000000E-99   1.00000000000000E-99
 12   12     1.00000000000000E-99   1.00000000000000E-99
 13   12     1.00000000000000E-99   1.00000000000000E-99
 14   12     1.00000000000000E-99   1.00000000000000E-99
 15   12     1.00000000000000E-99   1.00000000000000E-99
 16   12     1.00000000000000E-99   1.00000000000000E-99
 17   12     1.00000000000000E-99   1.00000000000000E-99
 18   12     1.09523742285862E-25   3.28571226857585E-24
 19   12     1.51980409701840E-25   4.71139270075703E-24
 20   12     6.44409786161947E-24   2.06211131571823E-22
 21   12     1.98617239483680E-19   6.55436890296146E-18
 22   12     5.70816737592884E-11   1.94077690781580E-09
 23   12     9.77127401626632E-19   3.41994590569321E-17
 24   12     1.59471787994813E-12   5.74098436781326E-11
 25   12     5.45028979645429E-18   2.01660722468809E-16
 26   12     1.31519591646376E-12   4.99774448256228E-11
 27   12     1.02415383446990E-18   3.99419995443263E-17
 28   12     7.70279633502906E-12   3.08111853401162E-10
 29   12     1.00000000000000E-99   1.00000000000000E-99
