    time    temp    dens
   8.77684974664396E+00   7.68877397179980E-02   5.84384859790838E-01
     nin     zin       y       x
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     1.00000000000000E-99   1.00000000000000E-99
  9   12     1.00000000000000E-99   1.00000000000000E-99
 10   12     1.00000000000000E-99   1.00000000000000E-99
 11   12     1.00000000000000E-99   1.00000000000000E-99
 12   12     2.57836461313283E-14   6.18807507151879E-13
 13   12     4.87820408103111E-09   1.21955102025778E-07
 14   12     5.81471580757824E-09   1.51182610997034E-07
 15   12     2.21990506207583E-09   5.99374366760474E-08
 16   12     1.28698568832152E-09   3.60355992730027E-08
 17   12     1.46273702748753E-11   4.24193737971382E-10
 18   12     7.66004254303064E-16   2.29801276290919E-14
 19   12     4.15023214638293E-19   1.28657196537871E-17
 20   12     9.63405620880446E-25   3.08289798681743E-23
 21   12     1.00000000000000E-99   1.00000000000000E-99
 22   12     1.00000000000000E-99   1.00000000000000E-99
 23   12     1.00000000000000E-99   1.00000000000000E-99
 24   12     1.00000000000000E-99   1.00000000000000E-99
 25   12     1.00000000000000E-99   1.00000000000000E-99
 26   12     1.00000000000000E-99   1.00000000000000E-99
 27   12     1.00000000000000E-99   1.00000000000000E-99
 28   12     1.00000000000000E-99   1.00000000000000E-99
 29   12     1.00000000000000E-99   1.00000000000000E-99
 30   12     1.00000000000000E-99   1.00000000000000E-99
 31   12     1.00000000000000E-99   1.00000000000000E-99
 32   12     1.00000000000000E-99   1.00000000000000E-99
 33   12     1.00000000000000E-99   1.00000000000000E-99
 34   12     1.00000000000000E-99   1.00000000000000E-99
 35   12     1.00000000000000E-99   1.00000000000000E-99
  8   13     1.00000000000000E-99   1.00000000000000E-99
  9   13     1.00000000000000E-99   1.00000000000000E-99
 10   13     1.00000000000000E-99   1.00000000000000E-99
 11   13     1.00000000000000E-99   1.00000000000000E-99
 12   13     1.00000000000000E-99   1.00000000000000E-99
 13   13     7.11601785796259E-23   1.85016464307027E-21
 14   13     1.91433347334209E-11   5.16870037802364E-10
 15   13     1.77163738508601E-13   4.96058467824083E-12
 16   13     7.61013285364028E-10   2.20693852755568E-08
 17   13     5.15132260933590E-10   1.54539678280077E-08
 18   13     1.14169475239876E-12   3.53925373243617E-11
 19   13     5.32964924996647E-19   1.70548775998927E-17
 20   13     1.14722023054402E-24   3.78582676079525E-23
 21   13     1.00000000000000E-99   1.00000000000000E-99
 22   13     1.00000000000000E-99   1.00000000000000E-99
 23   13     1.00000000000000E-99   1.00000000000000E-99
 24   13     1.00000000000000E-99   1.00000000000000E-99
 25   13     1.00000000000000E-99   1.00000000000000E-99
 26   13     1.00000000000000E-99   1.00000000000000E-99
 27   13     1.00000000000000E-99   1.00000000000000E-99
 28   13     1.00000000000000E-99   1.00000000000000E-99
 29   13     1.00000000000000E-99   1.00000000000000E-99
 30   13     1.00000000000000E-99   1.00000000000000E-99
 31   13     1.00000000000000E-99   1.00000000000000E-99
 32   13     1.00000000000000E-99   1.00000000000000E-99
 33   13     1.00000000000000E-99   1.00000000000000E-99
 34   13     1.00000000000000E-99   1.00000000000000E-99
 35   13     1.00000000000000E-99   1.00000000000000E-99
 36   13     1.00000000000000E-99   1.00000000000000E-99
 37   13     1.00000000000000E-99   1.00000000000000E-99
 38   13     1.00000000000000E-99   1.00000000000000E-99
  8   14     1.00000000000000E-99   1.00000000000000E-99
  9   14     1.00000000000000E-99   1.00000000000000E-99
 10   14     1.00000000000000E-99   1.00000000000000E-99
 11   14     1.00000000000000E-99   1.00000000000000E-99
 12   14     1.00000000000000E-99   1.00000000000000E-99
 13   14     1.00000000000000E-99   1.00000000000000E-99
 14   14     4.70733658578254E-15   1.31805424401911E-13
 15   14     7.76050772056666E-12   2.25054723896433E-10
 16   14     1.45515314515217E-09   4.36545943545652E-08
 17   14     2.47351746164318E-09   7.66790413109386E-08
 18   14     1.03044257934613E-08   3.29741625390762E-07
 19   14     5.01205458447415E-09   1.65397801287647E-07
 20   14     3.17526835056431E-09   1.07959123919186E-07
 21   14     1.77216287709860E-11   6.20257006984510E-10
 22   14     5.46662967787856E-14   1.96798668403628E-12
 23   14     8.18101177051840E-21   3.02697435509181E-19
 24   14     1.36418698791934E-21   5.18391055409348E-20
 25   14     1.00000000000000E-99   1.00000000000000E-99
 26   14     1.00000000000000E-99   1.00000000000000E-99
 27   14     1.00000000000000E-99   1.00000000000000E-99
 28   14     1.00000000000000E-99   1.00000000000000E-99
 29   14     1.00000000000000E-99   1.00000000000000E-99
 30   14     1.00000000000000E-99   1.00000000000000E-99
 31   14     1.00000000000000E-99   1.00000000000000E-99
 32   14     1.00000000000000E-99   1.00000000000000E-99
 33   14     1.00000000000000E-99   1.00000000000000E-99
 34   14     1.00000000000000E-99   1.00000000000000E-99
 35   14     1.00000000000000E-99   1.00000000000000E-99
 36   14     1.00000000000000E-99   1.00000000000000E-99
 37   14     1.00000000000000E-99   1.00000000000000E-99
 38   14     1.00000000000000E-99   1.00000000000000E-99
 39   14     1.00000000000000E-99   1.00000000000000E-99
 40   14     1.00000000000000E-99   1.00000000000000E-99
  8   15     1.00000000000000E-99   1.00000000000000E-99
  9   15     1.00000000000000E-99   1.00000000000000E-99
 10   15     1.00000000000000E-99   1.00000000000000E-99
 11   15     1.00000000000000E-99   1.00000000000000E-99
 12   15     1.00000000000000E-99   1.00000000000000E-99
 13   15     1.00000000000000E-99   1.00000000000000E-99
 14   15     1.00000000000000E-99   1.00000000000000E-99
 15   15     1.00000000000000E-99   1.00000000000000E-99
 16   15     1.16603351093661E-12   3.61470388390349E-11
 17   15     1.20469311498496E-15   3.85501796795186E-14
 18   15     6.63669198091955E-09   2.19010835370345E-07
 19   15     1.32004898657994E-08   4.48816655437181E-07
 20   15     1.37214992412602E-08   4.80252473444107E-07
 21   15     1.98310090766983E-09   7.13916326761139E-08
 22   15     1.28931138538509E-09   4.77045212592482E-08
 23   15     3.08462688051866E-12   1.17215821459709E-10
 24   15     1.85758306076371E-16   7.24457393697849E-15
 25   15     4.52697982183660E-22   1.81079192873464E-20
 26   15     1.00000000000000E-99   1.00000000000000E-99
 27   15     1.00000000000000E-99   1.00000000000000E-99
 28   15     1.00000000000000E-99   1.00000000000000E-99
 29   15     1.00000000000000E-99   1.00000000000000E-99
 30   15     1.00000000000000E-99   1.00000000000000E-99
 31   15     1.00000000000000E-99   1.00000000000000E-99
 32   15     1.00000000000000E-99   1.00000000000000E-99
 33   15     1.00000000000000E-99   1.00000000000000E-99
 34   15     1.00000000000000E-99   1.00000000000000E-99
 35   15     1.00000000000000E-99   1.00000000000000E-99
 36   15     1.00000000000000E-99   1.00000000000000E-99
 37   15     1.00000000000000E-99   1.00000000000000E-99
 38   15     1.00000000000000E-99   1.00000000000000E-99
