    time    temp    dens
   2.62215626484933E+02   1.00000000000000E-02   2.19148871251818E-05
     nin     zin       y       x
  1    0     7.17809090498721E-10   7.17809090498721E-10
  0    1     1.76786914881580E-10   1.76786914881580E-10
  1    1     3.54044262681015E-16   7.08088525362029E-16
  2    1     2.58325600711111E-08   7.74976802133333E-08
  1    2     1.20500197694218E-14   3.61500593082653E-14
  2    2     2.73043188328575E-04   1.09217275331430E-03
  4    2     1.00000000000000E-99   1.00000000000000E-99
  3    3     1.64131119469518E-08   9.84786716817106E-08
  4    3     2.74852538483057E-09   1.92396776938140E-08
  5    3     3.44467879759783E-19   2.75574303807826E-18
  6    3     1.00000000000000E-99   1.00000000000000E-99
  3    4     6.28556438071834E-21   4.39989506650284E-20
  5    4     1.14965352611135E-06   1.03468817350021E-05
  6    4     7.61595809394923E-07   7.61595809394923E-06
  7    4     1.46545901359691E-16   1.61200491495660E-15
  8    4     1.00000000000000E-99   1.00000000000000E-99
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     7.58895052217784E-15   7.58895052217784E-14
  6    5     2.30430228970186E-08   2.53473251867204E-07
  7    5     7.70343322287002E-21   9.24411986744403E-20
  8    5     1.00000000000000E-99   1.00000000000000E-99
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     4.77250287258827E-07   5.72700344710592E-06
  7    6     1.65673894764380E-08   2.15376063193694E-07
  8    6     1.17670889509500E-08   1.64739245313300E-07
  9    6     1.28750303815490E-20   1.93125455723235E-19
 10    6     1.00000000000000E-99   1.00000000000000E-99
 11    6     1.00000000000000E-99   1.00000000000000E-99
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     3.74527129940121E-20   4.86885268922157E-19
  7    7     1.86977699506563E-11   2.61768779309189E-10
  8    7     7.34194843705037E-06   1.10129226555756E-04
  9    7     4.32555775522526E-17   6.92089240836042E-16
 10    7     1.31850640618360E-25   2.24146089051213E-24
 11    7     1.00000000000000E-99   1.00000000000000E-99
 12    7     1.00000000000000E-99   1.00000000000000E-99
 13    7     1.00000000000000E-99   1.00000000000000E-99
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     3.85640515659622E-25   5.78460773489433E-24
  8    8     1.60839428874321E-07   2.57343086198914E-06
  9    8     2.88505080769195E-09   4.90458637307631E-08
 10    8     1.81507309626988E-08   3.26713157328578E-07
 11    8     7.52351293144276E-10   1.42946745697412E-08
 12    8     2.26184923753981E-12   4.52369847507963E-11
 13    8     3.13948975149506E-24   6.59292847813963E-23
 14    8     1.00000000000000E-99   1.00000000000000E-99
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.70282028050419E-25   2.89479447685712E-24
  9    9     1.38446530206261E-23   2.49203754371270E-22
 10    9     5.70946880638757E-07   1.08479907321364E-05
 11    9     9.78496356335859E-12   1.95699271267172E-10
 12    9     7.13234682180406E-19   1.49779283257885E-17
 13    9     1.11295136706633E-22   2.44849300754594E-21
 14    9     1.00000000000000E-99   1.00000000000000E-99
 15    9     1.00000000000000E-99   1.00000000000000E-99
 16    9     1.00000000000000E-99   1.00000000000000E-99
 17    9     1.00000000000000E-99   1.00000000000000E-99
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     1.05849215194387E-06   2.11698430388773E-05
 11   10     2.39682054996871E-07   5.03332315493429E-06
 12   10     8.62057014553639E-06   1.89652543201801E-04
 13   10     2.82570009320558E-11   6.49911021437283E-10
 14   10     8.83338018467663E-09   2.12001124432239E-07
 15   10     6.02798543871574E-21   1.50699635967894E-19
 16   10     1.00000000000000E-99   1.00000000000000E-99
 17   10     1.00000000000000E-99   1.00000000000000E-99
 18   10     1.00000000000000E-99   1.00000000000000E-99
 19   10     1.00000000000000E-99   1.00000000000000E-99
 20   10     1.00000000000000E-99   1.00000000000000E-99
 21   10     1.00000000000000E-99   1.00000000000000E-99
 22   10     1.00000000000000E-99   1.00000000000000E-99
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     1.00000000000000E-99   1.00000000000000E-99
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     2.18123139529233E-21   4.79870906964314E-20
 12   11     3.28127127386341E-09   7.54692392988584E-08
 13   11     1.26339776313037E-08   3.03215463151290E-07
 14   11     3.15192508434167E-09   7.87981271085416E-08
 15   11     1.77114548471664E-17   4.60497826026326E-16
