    time    temp    dens
   1.18245858538152E+00   5.47364719807198E-01   2.38977564036877E+02
     nin     zin       y       x
  1    0     4.75934961064608E-07   4.75934961064608E-07
  0    1     1.07184872276412E-12   1.07184872276412E-12
  1    1     5.14840342512716E-13   1.02968068502543E-12
  2    1     3.76267983333304E-09   1.12880394999991E-08
  1    2     2.51748690149365E-20   7.55246070448096E-20
  2    2     2.69278823910791E-04   1.07711529564316E-03
  4    2     9.57926084673065E-08   5.74755650803839E-07
  3    3     2.92373484313506E-12   1.75424090588104E-11
  4    3     8.04172869943319E-10   5.62921008960323E-09
  5    3     5.83163884842146E-13   4.66531107873717E-12
  6    3     1.41659172332543E-06   1.27493255099289E-05
  3    4     1.28630060772018E-20   9.00410425404126E-20
  5    4     1.47376722737875E-07   1.32639050464087E-06
  6    4     7.60542551181032E-07   7.60542551181032E-06
  7    4     1.10047514858978E-15   1.21052266344876E-14
  8    4     3.39770358512733E-10   4.07724430215280E-09
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     2.61994609504019E-17   2.61994609504019E-16
  6    5     2.10476144433671E-09   2.31523758877039E-08
  7    5     1.13609697904166E-09   1.36331637484999E-08
  8    5     4.59452003223436E-10   5.97287604190467E-09
  9    5     7.59448562558180E-15   1.06322798758145E-13
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     8.56397957724430E-08   1.02767754926932E-06
  7    6     1.21734784200993E-08   1.58255219461291E-07
  8    6     8.69268844892122E-09   1.21697638284897E-07
  9    6     5.88787270769312E-11   8.83180906153968E-10
 10    6     6.88361509209613E-06   1.10137841473538E-04
 11    6     2.53390863001509E-12   4.30764467102566E-11
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     6.03607074736439E-20   7.84689197157370E-19
  7    7     1.49133904183118E-12   2.08787465856365E-11
  8    7     5.33665551931842E-07   8.00498327897763E-06
  9    7     5.04713165165871E-08   8.07541064265394E-07
 10    7     3.61607688452583E-08   6.14733070369391E-07
 11    7     1.87637391706788E-08   3.37747305072218E-07
 12    7     3.34328611415366E-09   6.35224361689196E-08
 13    7     1.06145260314241E-06   2.12290520628482E-05
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     4.46515300724834E-25   6.69772951087252E-24
  8    8     6.75575642470027E-10   1.08092102795204E-08
  9    8     1.47726856257918E-11   2.51135655638460E-10
 10    8     1.61450511807370E-09   2.90610921253265E-08
 11    8     1.50167714345521E-07   2.85318657256490E-06
 12    8     4.22802962983262E-07   8.45605925966523E-06
 13    8     2.28282465844790E-07   4.79393178274059E-06
 14    8     8.37957859960361E-06   1.84350729191279E-04
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     6.83406070738634E-25   1.16179032025568E-23
  9    9     4.02685119876477E-22   7.24833215777659E-21
 10    9     4.90082582031966E-11   9.31156905860735E-10
 11    9     3.80529146230249E-10   7.61058292460499E-09
 12    9     4.97364650997489E-09   1.04446576709473E-07
 13    9     2.40028274302772E-07   5.28062203466098E-06
 14    9     2.00454470637298E-09   4.61045282465785E-08
 15    9     2.66830463060553E-09   6.40393111345326E-08
 16    9     4.15259331283641E-08   1.03814832820910E-06
 17    9     1.41026906184026E-12   3.66669956078468E-11
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     4.84765789560474E-13   9.69531579120949E-12
 11   10     1.44846807591553E-11   3.04178295942261E-10
 12   10     1.60154559126515E-09   3.52340030078333E-08
 13   10     3.11683680651729E-10   7.16872465498976E-09
 14   10     9.56002917235408E-09   2.29440700136498E-07
 15   10     3.51632893020907E-08   8.79082232552267E-07
 16   10     3.31590088301880E-09   8.62134229584888E-08
 17   10     8.10294806840166E-11   2.18779597846845E-09
 18   10     9.70204030917145E-11   2.71657128656801E-09
 19   10     2.85091021560701E-12   8.26763962526032E-11
 20   10     4.09211159254538E-13   1.22763347776361E-11
 21   10     5.22655922172191E-16   1.62023335873379E-14
 22   10     2.45907618543309E-16   7.86904379338587E-15
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     1.00000000000000E-99   1.00000000000000E-99
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     1.54178188205785E-23   3.39192014052728E-22
 12   11     8.81110006057327E-14   2.02655301393185E-12
 13   11     5.56854070741218E-13   1.33644976977892E-11
 14   11     1.07492029054784E-09   2.68730072636959E-08
 15   11     7.23181531610673E-10   1.88027198218775E-08
 16   11     1.34596967912160E-09   3.63411813362832E-08
 17   11     2.83104437876518E-10   7.92692426054251E-09
 18   11     5.04557484863595E-10   1.46321670610443E-08
 19   11     8.13643070108973E-11   2.44092921032692E-09
 20   11     1.01499628088270E-10   3.14648847073636E-09
 21   11     2.64701751498398E-10   8.47045604794874E-09
 22   11     1.33464224738637E-15   4.40431941637501E-14
 23   11     4.52205594459531E-19   1.53749902116241E-17
 24   11     5.95157695271258E-22   2.08305193344940E-20
 25   11     1.00000000000000E-99   1.00000000000000E-99
 26   11     1.00000000000000E-99   1.00000000000000E-99
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     1.00000000000000E-99   1.00000000000000E-99
  9   12     1.00000000000000E-99   1.00000000000000E-99
 10   12     1.00000000000000E-99   1.00000000000000E-99
 11   12     1.00000000000000E-99   1.00000000000000E-99
 12   12     6.94550896132779E-20   1.66692215071867E-18
 13   12     7.33813608593193E-14   1.83453402148298E-12
 14   12     1.30351020550741E-11   3.38912653431927E-10
 15   12     5.27231382969889E-11   1.42352473401870E-09
 16   12     5.40806982031414E-10   1.51425954968796E-08
 17   12     4.31404238120140E-10   1.25107229054841E-08
 18   12     1.91459117088301E-09   5.74377351264904E-08
 19   12     1.44658567535011E-09   4.48441559358535E-08
 20   12     8.84303645419988E-09   2.82977166534396E-07
 21   12     1.40028646932481E-09   4.62094534877188E-08
 22   12     2.71866819817414E-09   9.24347187379209E-08
 23   12     1.00000000000000E-99   1.00000000000000E-99
 24   12     2.14055388221395E-21   7.70599397597023E-20
 25   12     1.00000000000000E-99   1.00000000000000E-99
 26   12     1.25042492395811E-25   4.75161471104083E-24
 27   12     1.00000000000000E-99   1.00000000000000E-99
 28   12     1.00000000000000E-99   1.00000000000000E-99
 29   12     1.00000000000000E-99   1.00000000000000E-99
 30   12     1.00000000000000E-99   1.00000000000000E-99
 31   12     1.00000000000000E-99   1.00000000000000E-99
 32   12     1.00000000000000E-99   1.00000000000000E-99
 33   12     1.00000000000000E-99   1.00000000000000E-99
 34   12     1.00000000000000E-99   1.00000000000000E-99
 35   12     1.00000000000000E-99   1.00000000000000E-99
  8   13     1.00000000000000E-99   1.00000000000000E-99
  9   13     1.00000000000000E-99   1.00000000000000E-99
 10   13     1.00000000000000E-99   1.00000000000000E-99
 11   13     1.00000000000000E-99   1.00000000000000E-99
 12   13     1.00000000000000E-99   1.00000000000000E-99
 13   13     1.00000000000000E-99   1.00000000000000E-99
 14   13     5.49742703500358E-16   1.48430529945097E-14
 15   13     2.96361680556390E-16   8.29812705557892E-15
 16   13     4.73762578441594E-12   1.37391147748062E-10
 17   13     8.13270441565926E-11   2.43981132469778E-09
 18   13     5.09631402537829E-10   1.57985734786727E-08
 19   13     1.46780682540108E-09   4.69698184128346E-08
 20   13     5.57520007721290E-09   1.83981602548026E-07
 21   13     3.60092506953144E-09   1.22431452364069E-07
 22   13     8.49450648671324E-09   2.97307727034963E-07
 23   13     5.91828580764323E-10   2.13058289075156E-08
 24   13     1.33360898697877E-10   4.93435325182146E-09
 25   13     2.36431449369915E-14   8.98439507605676E-13
 26   13     5.80310492215829E-12   2.26321091964173E-10
 27   13     1.00000000000000E-99   1.00000000000000E-99
 28   13     1.27597255146133E-22   5.23148746099144E-21
 29   13     1.00000000000000E-99   1.00000000000000E-99
 30   13     1.00000000000000E-99   1.00000000000000E-99
 31   13     1.00000000000000E-99   1.00000000000000E-99
 32   13     1.00000000000000E-99   1.00000000000000E-99
 33   13     1.00000000000000E-99   1.00000000000000E-99
 34   13     1.00000000000000E-99   1.00000000000000E-99
 35   13     1.00000000000000E-99   1.00000000000000E-99
 36   13     1.00000000000000E-99   1.00000000000000E-99
 37   13     1.00000000000000E-99   1.00000000000000E-99
 38   13     1.00000000000000E-99   1.00000000000000E-99
  8   14     1.00000000000000E-99   1.00000000000000E-99
  9   14     1.00000000000000E-99   1.00000000000000E-99
