    time    temp    dens
   1.44921441075034E+01   4.68453238935108E-02   1.29812649713611E-01
     nin     zin       y       x
  1    0     2.22713622347614E-10   2.22713622347614E-10
  0    1     2.88087538480675E-12   2.88087538480675E-12
  1    1     2.36072848045731E-16   4.72145696091461E-16
  2    1     2.51414746676060E-08   7.54244240028180E-08
  1    2     9.62278742218041E-16   2.88683622665412E-15
  2    2     2.68980883909503E-04   1.07592353563801E-03
  4    2     1.18998593955039E-12   7.13991563730235E-12
  3    3     1.71063289099667E-08   1.02637973459800E-07
  4    3     2.74844942799001E-09   1.92391459959301E-08
  5    3     9.05552841178532E-16   7.24442272942826E-15
  6    3     3.38165283808124E-17   3.04348755427311E-16
  3    4     1.66876939804397E-20   1.16813857863078E-19
  5    4     1.14965382468056E-06   1.03468844221250E-05
  6    4     7.61595594921930E-07   7.61595594921930E-06
  7    4     1.24208135250470E-12   1.36628948775517E-11
  8    4     3.99501437690251E-22   4.79401725228301E-21
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     8.64624654548163E-15   8.64624654548163E-14
  6    5     2.30417455587140E-08   2.53459201145854E-07
  7    5     5.43158646380848E-17   6.51790375657017E-16
  8    5     1.00000000000000E-99   1.00000000000000E-99
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     4.77249913001532E-07   5.72699895601838E-06
  7    6     1.65673157078614E-08   2.15375104202199E-07
  8    6     1.17670627035326E-08   1.64738877849457E-07
  9    6     1.35758267427056E-12   2.03637401140584E-11
 10    6     3.84209292485002E-11   6.14734867976002E-10
 11    6     8.05839081571929E-21   1.36992643867228E-19
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     5.08912319173388E-20   6.61586014925404E-19
  7    7     1.86993565785940E-11   2.61790992100316E-10
  8    7     7.34190918531787E-06   1.10128637779768E-04
  9    7     3.67985569711452E-08   5.88776911538323E-07
 10    7     4.00912315726374E-09   6.81550936734836E-08
 11    7     9.34330784848286E-15   1.68179541272692E-13
 12    7     1.32633793775431E-20   2.52004208173319E-19
 13    7     1.00000000000000E-99   1.00000000000000E-99
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.62812123026856E-24   2.44218184540284E-23
  8    8     1.20228127572573E-07   1.92365004116117E-06
  9    8     2.68860849996944E-09   4.57063444994804E-08
 10    8     1.81507230460135E-08   3.26713014828243E-07
 11    8     4.08269028600500E-07   7.75711154340951E-06
 12    8     5.39601928744590E-07   1.07920385748918E-05
 13    8     1.57120468637019E-08   3.29952984137741E-07
 14    8     1.42880963734143E-07   3.14338120215114E-06
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     2.69598524881426E-24   4.58317492298425E-23
  9    9     1.58341695265403E-23   2.85015051477726E-22
 10    9     1.63430941779390E-07   3.10518789380842E-06
 11    9     3.37810286588667E-07   6.75620573177335E-06
 12    9     5.49465532889275E-08   1.15387761906748E-06
 13    9     1.76029066210337E-06   3.87263945662742E-05
 14    9     3.66132599747598E-11   8.42104979419474E-10
 15    9     5.01356317958292E-19   1.20325516309990E-17
 16    9     1.00000000000000E-99   1.00000000000000E-99
 17    9     1.00000000000000E-99   1.00000000000000E-99
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     1.81130567668054E-07   3.62261135336107E-06
 11   10     1.68990450831976E-07   3.54879946747150E-06
 12   10     6.71741477685309E-06   1.47783125090768E-04
 13   10     2.64822636560233E-09   6.09092064088535E-08
 14   10     2.05495470726131E-08   4.93189129742714E-07
 15   10     2.36541421477371E-14   5.91353553693428E-13
 16   10     1.21258508947274E-23   3.15272123262913E-22
 17   10     1.00000000000000E-99   1.00000000000000E-99
 18   10     1.00000000000000E-99   1.00000000000000E-99
 19   10     1.00000000000000E-99   1.00000000000000E-99
 20   10     1.00000000000000E-99   1.00000000000000E-99
 21   10     1.00000000000000E-99   1.00000000000000E-99
 22   10     1.00000000000000E-99   1.00000000000000E-99
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     1.00000000000000E-99   1.00000000000000E-99
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     2.38152749739794E-21   5.23936049427547E-20
 12   11     6.02618666913850E-10   1.38602293390185E-08
 13   11     9.41890249319242E-10   2.26053659836618E-08
 14   11     5.65586281122224E-08   1.41396570280556E-06
 15   11     2.51390957032719E-12   6.53616488285069E-11
