    time    temp    dens
   3.83347870256850E+01   1.79996683957421E-02   7.01351583904992E-03
     nin     zin       y       x
  1    0     3.33043860007920E-10   3.33043860007920E-10
  0    1     1.02373000033523E-11   1.02373000033523E-11
  1    1     2.70494947789715E-16   5.40989895579430E-16
  2    1     2.56809925096459E-08   7.70429775289376E-08
  1    2     1.89427045373875E-15   5.68281136121625E-15
  2    2     2.69079710017041E-04   1.07631884006816E-03
  4    2     5.71915812901281E-21   3.43149487740769E-20
  3    3     1.65647027715482E-08   9.93882166292889E-08
  4    3     2.74850453491738E-09   1.92395317444217E-08
  5    3     5.05085761295154E-17   4.04068609036123E-16
  6    3     2.15128181844836E-25   1.93615363660353E-24
  3    4     8.06513520055619E-21   5.64559464038933E-20
  5    4     1.14965359326908E-06   1.03468823394217E-05
  6    4     7.61595761882555E-07   7.61595761882555E-06
  7    4     4.06454510108125E-13   4.47099961118938E-12
  8    4     1.05193568254073E-23   1.26232281904888E-22
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     7.82154293976730E-15   7.82154293976731E-14
  6    5     2.30426111635420E-08   2.53468722798962E-07
  7    5     1.15187028202810E-18   1.38224433843371E-17
  8    5     1.00000000000000E-99   1.00000000000000E-99
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     4.77250256993003E-07   5.72700308391604E-06
  7    6     1.65673746075909E-08   2.15375869898682E-07
  8    6     1.17670829007573E-08   1.64739160610603E-07
  9    6     1.90018612067524E-15   2.85027918101287E-14
 10    6     5.12399710776610E-20   8.19839537242577E-19
 11    6     1.00000000000000E-99   1.00000000000000E-99
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     4.87454888576996E-20   6.33691355150095E-19
