    time    temp    dens
   8.21394249896802E-02   8.77766765896271E-01   7.12951474771766E+05
     nin     zin       y       x
  1    0     8.26576634560985E-01   8.26576634560985E-01
  0    1     5.98187849948623E-14   5.98187849948623E-14
  1    1     1.82723396542591E-12   3.65446793085181E-12
  2    1     1.24259213632610E-08   3.72777640897831E-08
  1    2     1.00000000000000E-99   1.00000000000000E-99
  2    2     1.51352013664560E-05   6.05408054658239E-05
  4    2     2.52214713849928E-07   1.51328828309957E-06
  3    3     9.90210927460724E-22   5.94126556476434E-21
  4    3     4.35480819724641E-15   3.04836573807249E-14
  5    3     5.42044804841998E-15   4.33635843873599E-14
  6    3     3.61777904357242E-07   3.25600113921518E-06
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     2.87628282823715E-14   2.58865454541344E-13
  6    4     3.01156686749331E-12   3.01156686749331E-11
  7    4     1.91378442304155E-13   2.10516286534571E-12
  8    4     2.93733920481318E-06   3.52480704577582E-05
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     4.97262060534011E-16   5.46988266587412E-15
  7    5     5.18261885467002E-14   6.21914262560402E-13
  8    5     1.07601748113428E-07   1.39882272547456E-06
  9    5     2.00680402256398E-06   2.80952563158957E-05
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     1.50419910780610E-19   1.80503892936732E-18
  7    6     6.65758808853646E-16   8.65486451509740E-15
  8    6     6.75148517972762E-14   9.45207925161866E-13
  9    6     4.24404641248285E-13   6.36606961872428E-12
 10    6     1.68738352980834E-06   2.69981364769335E-05
 11    6     4.47733106997050E-06   7.61146281894984E-05
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     2.53509163421821E-24   3.54912828790549E-23
  8    7     1.24656981935786E-15   1.86985472903679E-14
  9    7     1.23733481767688E-14   1.97973570828301E-13
 10    7     1.17502423184027E-13   1.99754119412846E-12
 11    7     1.05861200309329E-13   1.90550160556793E-12
 12    7     1.74217868211370E-13   3.31013949601603E-12
 13    7     5.78791234483037E-07   1.15758246896607E-05
 14    7     1.00000000000000E-99   1.00000000000000E-99
