    time    temp    dens
   6.26514548039198E+00   1.07292856871864E-01   1.60665069597980E+00
     nin     zin       y       x
  1    0     2.01695651452404E-10   2.01695651452404E-10
  0    1     9.01981723828010E-13   9.01981723828010E-13
  1    1     4.75358932901902E-16   9.50717865803804E-16
  2    1     2.28870536889164E-08   6.86611610667493E-08
  1    2     9.80468102060129E-16   2.94140430618039E-15
  2    2     2.68973692652107E-04   1.07589477060843E-03
  4    2     1.21473902819170E-09   7.28843416915022E-09
  3    3     1.84190266568379E-08   1.10514159941028E-07
  4    3     2.74731248958435E-09   1.92311874270905E-08
  5    3     4.75582896165134E-14   3.80466316932107E-13
  6    3     9.68223494327204E-11   8.71401144894484E-10
  3    4     1.89687693383258E-19   1.32781385368281E-18
  5    4     1.14955795148695E-06   1.03460215633825E-05
  6    4     7.61594838978387E-07   7.61594838978387E-06
  7    4     1.56342710322581E-12   1.71976981354839E-11
  8    4     5.67656291022293E-21   6.81187549226752E-20
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.32372558160552E-14   1.32372558160552E-13
  6    5     2.30412428597678E-08   2.53453671457446E-07
  7    5     1.98990189399606E-15   2.38788227279527E-14
  8    5     2.85217638499219E-23   3.70782930048984E-22
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     4.77249596464645E-07   5.72699515757574E-06
  7    6     1.65669650706962E-08   2.15370545919051E-07
  8    6     1.17587841934696E-08   1.64622978708574E-07
  9    6     1.36242358566332E-11   2.04363537849497E-10
 10    6     6.38058130533275E-08   1.02089300885324E-06
 11    6     4.36237191829121E-16   7.41603226109506E-15
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     5.53374155386704E-20   7.19386402002716E-19
  7    7     1.87039146913346E-11   2.61854805678685E-10
  8    7     7.27876845057605E-06   1.09181526758641E-04
  9    7     8.09621171521292E-08   1.29539387443407E-06
 10    7     1.56240771872640E-08   2.65609312183489E-07
 11    7     6.72981121758307E-11   1.21136601916495E-09
 12    7     1.11041131482233E-13   2.10978149816244E-12
 13    7     1.62684605139356E-17   3.25369210278712E-16
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.93455519134884E-24   2.90183278702326E-23
  8    8     6.43804493715994E-08   1.03008718994559E-06
  9    8     2.11473427411888E-09   3.59504826600210E-08
 10    8     1.80963103689354E-08   3.25733586640837E-07
 11    8     5.04599295848277E-07   9.58738662111727E-06
 12    8     8.22648029502959E-07   1.64529605900592E-05
 13    8     8.23555542952850E-08   1.72946664020098E-06
 14    8     1.75752928480537E-06   3.86656442657181E-05
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     4.19929820724521E-24   7.13880695231685E-23
  9    9     2.33782276515573E-23   4.20808097728031E-22
 10    9     6.71247723186374E-08   1.27537067405411E-06
 11    9     2.01725292479953E-07   4.03450584959905E-06
 12    9     9.70147976157219E-08   2.03731074993016E-06
 13    9     4.14196663875544E-06   9.11232660526197E-05
 14    9     4.60421426869219E-10   1.05896928179920E-08
 15    9     3.63859279354702E-13   8.73262270451285E-12
 16    9     2.45653828584250E-21   6.14134571460625E-20
 17    9     1.00000000000000E-99   1.00000000000000E-99
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     3.42548034284376E-08   6.85096068568752E-07
 11   10     6.01791380145319E-08   1.26376189830517E-06
 12   10     2.72111000618468E-06   5.98644201360629E-05
 13   10     2.61091987499517E-09   6.00511571248889E-08
 14   10     2.11345893949148E-08   5.07230145477955E-07
 15   10     2.18727289096997E-10   5.46818222742493E-09
 16   10     1.00115786538272E-16   2.60301044999508E-15
 17   10     1.13562564225687E-25   3.06618923409356E-24
 18   10     1.00000000000000E-99   1.00000000000000E-99
 19   10     1.00000000000000E-99   1.00000000000000E-99
 20   10     1.00000000000000E-99   1.00000000000000E-99
 21   10     1.00000000000000E-99   1.00000000000000E-99
 22   10     1.00000000000000E-99   1.00000000000000E-99
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     1.00000000000000E-99   1.00000000000000E-99
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     3.14894464490307E-21   6.92767821878675E-20
 12   11     1.86815560434612E-10   4.29675788999607E-09
 13   11     3.56640054897668E-10   8.55936131754403E-09
 14   11     6.20768831437286E-08   1.55192207859321E-06
 15   11     2.78308487093952E-10   7.23602066444274E-09
 16   11     5.42316688210956E-14   1.46425505816958E-12
 17   11     1.31267678143308E-20   3.67549498801261E-19
 18   11     1.00000000000000E-99   1.00000000000000E-99
 19   11     1.00000000000000E-99   1.00000000000000E-99
 20   11     1.00000000000000E-99   1.00000000000000E-99
 21   11     1.00000000000000E-99   1.00000000000000E-99
 22   11     1.00000000000000E-99   1.00000000000000E-99
 23   11     1.00000000000000E-99   1.00000000000000E-99
 24   11     1.00000000000000E-99   1.00000000000000E-99
 25   11     1.00000000000000E-99   1.00000000000000E-99
 26   11     1.00000000000000E-99   1.00000000000000E-99
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     1.00000000000000E-99   1.00000000000000E-99
  9   12     1.00000000000000E-99   1.00000000000000E-99
 10   12     1.00000000000000E-99   1.00000000000000E-99
 11   12     1.00000000000000E-99   1.00000000000000E-99
 12   12     1.13252425581832E-14   2.71805821396396E-13
 13   12     3.07316076869483E-09   7.68290192173707E-08
 14   12     5.58770612011732E-09   1.45280359123050E-07
 15   12     2.22718864063206E-09   6.01340932970657E-08
 16   12     1.28649886757836E-09   3.60219682921940E-08
 17   12     5.49359452399587E-11   1.59314241195880E-09
 18   12     7.60706213005549E-14   2.28211863901665E-12
 19   12     4.86292165197613E-16   1.50750571211260E-14
 20   12     2.67360995996212E-21   8.55555187187878E-20
 21   12     1.17141380192621E-25   3.86566554635650E-24
